zone_id,name,n_years,slope,tau,s,var_s,z,p,p_adjusted,significant,status
LK1121015,Madiwela,12,-0.19669171606769886,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121020,Thalawathugoda West,12,-0.24056521872242315,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1121025,Thalawathugoda East,12,-0.18090141393720635,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1121030,Kalalgoda,12,-0.12042852356215417,-0.12121212121212122,-8.0,212.66666666666666,-0.48000783692661914,0.6312218204782534,0.6989871849033542,False,ok
LK1121035,Kottawa East,12,-0.00967267988163698,0.0,0.0,212.66666666666666,0.0,1.0,1.0,False,ok
LK1121040,Rukmale West,12,-0.0629927266514983,-0.18181818181818182,-12.0,212.66666666666666,-0.7542980294561158,0.4506702853141802,0.5603199752678535,False,ok
LK1121045,Rukmale East A,12,-0.19533273370898724,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1121050,Rukmale East B,12,-0.20106232843211086,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121055,Liyanagoda,12,-0.1592770117349099,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1121060,Kottawa North,12,-0.1037953007769816,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1121065,Depanama,12,-0.13973353250560983,-0.18181818181818182,-12.0,212.66666666666666,-0.7542980294561158,0.4506702853141802,0.5603199752678535,False,ok
LK1121070,Polwatta,12,-0.23661189359341872,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1121075,Pamunuwa,12,-0.19178184097092743,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1121080,Thalapathpitiya,12,-0.16036463601760076,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121085,Pragathipura,12,-0.13522822590826716,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121090,Udahamulla East,12,-0.07850529998320877,-0.09090909090909091,-6.0,212.66666666666666,-0.34286274066187084,0.7317017232242102,0.7898408136354362,False,ok
LK1121095,Udahamulla West,12,-0.19425434124543584,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121100,Pathiragoda,12,-0.21728836297422682,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121105,Maharagama East,12,-0.17556328681041428,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1121110,Maharagama West,12,-0.25579841300055195,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121115,Dambahena,12,-0.2938321688897747,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1121120,Pannipitiya North,12,-0.14574320313620825,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121125,Kottawa West,12,-0.10455465963161438,-0.12121212121212122,-8.0,212.66666666666666,-0.48000783692661914,0.6312218204782534,0.6989871849033542,False,ok
LK1121130,Kottawa South,12,0.027406935490337975,0.030303030303030304,2.0,212.66666666666666,0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1121135,Malapalla West,12,-0.07009894008783371,-0.09090909090909091,-6.0,212.66666666666666,-0.34286274066187084,0.7317017232242102,0.7898408136354362,False,ok
LK1121140,Malapalla East,12,-0.11374665325419464,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1121145,Makumbura North,12,-0.1712125722830618,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1121150,Makumbura South,12,-0.22618770988899012,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121155,Kottawa Town,12,-0.10750839095882331,-0.18181818181818182,-12.0,212.66666666666666,-0.7542980294561158,0.4506702853141802,0.5603199752678535,False,ok
LK1121160,Pannipitiya South,12,-0.11865425106744087,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121165,Maharagama Town,12,-0.24877283995014887,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121170,Godigamuwa South A,12,-0.1660878020478685,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121175,Godigamuwa South B,12,-0.07596426856631286,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121180,Godigamuwa North,12,-0.2949977455689936,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121185,Wattegedara,12,-0.1948527437473338,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1121190,Navinna,12,-0.14899938938009472,-0.18181818181818182,-12.0,212.66666666666666,-0.7542980294561158,0.4506702853141802,0.5603199752678535,False,ok
LK1121195,Wijerama,12,-0.032412180970934,-0.030303030303030304,-2.0,212.66666666666666,-0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1121200,Gangodavila South B,12,-0.08497935710869017,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1121205,Jambugasmulla,12,-0.009190345864458513,-0.030303030303030304,-2.0,212.66666666666666,-0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1124005,Obeysekarapura,12,-0.14826806486810307,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1124010,Welikada West,12,-0.14592846440735058,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1124015,Welikada East,12,-0.2085785834179434,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1124020,Rajagiriya,12,-0.20096162329788392,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
