year,source,rural_definition,urban_mean,rural_mean,suhii,urban_pixels,rural_pixels
2011,aqua_night,lcz_based,21.087554120469367,20.87922785550203,0.20832626496733653,435,142
2012,aqua_night,lcz_based,20.931865819295247,20.896526100647073,0.03533971864817431,435,142
2013,aqua_night,lcz_based,20.803697279129906,20.450123622628528,0.3535736565013785,435,142
2014,aqua_night,lcz_based,21.810251376272618,21.17695514372408,0.6332962325485383,435,142
2015,aqua_night,lcz_based,21.960017820336354,21.074190670701796,0.885827149634558,435,142
2016,aqua_night,lcz_based,21.28393993596921,20.701507026430413,0.5824329095387988,435,142
2017,aqua_night,lcz_based,21.803214355994914,21.020524987713443,0.7826893682814706,435,142
2018,aqua_night,lcz_based,21.06139222068348,20.250399160656066,0.810993060027414,435,142
2019,aqua_night,lcz_based,21.84250453642045,21.239154536461093,0.6033499999593559,435,142
2020,aqua_night,lcz_based,22.105205268421393,21.68418274168157,0.4210225267398222,435,142
2021,aqua_night,lcz_based,21.099053968232255,20.012089102842193,1.0869648653900619,435,142
2022,aqua_night,lcz_based,21.075131269433033,20.434640240555133,0.6404910288779,435,142
2023,aqua_night,lcz_based,21.63241309242687,21.357564483037386,0.2748486093894833,435,142
2024,aqua_night,lcz_based,22.101391750642623,22.096124689728555,0.005267060914068367,435,142
2025,aqua_night,lcz_based,21.670245422714057,21.01851279672769,0.6517326259863658,435,142
2000,terra_day_relaxed,buffer_ring,33.426561299492334,29.793742895126343,3.6328184043659917,34,32
2001,terra_day_relaxed,buffer_ring,34.1789665222168,29.67675006389618,4.502216458320618,34,32
2002,terra_day_relaxed,buffer_ring,33.91342230404125,29.713553309440613,4.199868994600635,34,32
2003,terra_day_relaxed,buffer_ring,33.3952595205868,29.378052413463593,4.017207107123205,34,32
2004,terra_day_relaxed,buffer_ring,33.655849625082574,29.931873083114624,3.72397654196795,34,32
2005,terra_day_relaxed,buffer_ring,33.429440161761114,29.311420798301697,4.1180193634594175,34,32
2006,terra_day_relaxed,buffer_ring,34.30083431917078,29.97642230987549,4.324412009295294,34,32
2007,terra_day_relaxed,buffer_ring,33.9122838973999,30.14610928297043,3.766174614429474,34,32
2008,terra_day_relaxed,buffer_ring,33.5317684061387,29.793405950069427,3.738362456069275,34,32
2009,terra_day_relaxed,buffer_ring,33.57492256164551,30.250975012779236,3.323947548866272,34,32
