zone_id,gi_z_pooled,gi_z_single_sensor,class_pooled,class_single_sensor
LK1118005,-3.577262348605643,-3.5820405717457846,cold_99,cold_99
LK1118010,-4.304231434774417,-4.3293907531221745,cold_99,cold_99
LK1118015,-4.187379463980389,-4.206072001344141,cold_99,cold_99
LK1118020,-5.478021902205935,-5.4544409594081475,cold_99,cold_99
LK1118025,-4.975427529639425,-4.9596030265349125,cold_99,cold_99
LK1118030,-4.590587887272453,-4.56436765014946,cold_99,cold_99
LK1118035,-4.348514812430013,-4.3282318551355985,cold_99,cold_99
LK1118040,-4.420490999353522,-4.399261666658048,cold_99,cold_99
LK1118045,-4.310758049026153,-4.285511753559122,cold_99,cold_99
LK1118050,-4.014489499043846,-4.02168860102954,cold_99,cold_99
LK1118055,-4.374999555355378,-4.384256762737873,cold_99,cold_99
LK1118060,-2.9023109122931574,-2.9009255240537524,cold_95,cold_95
LK1118065,-3.006912857558141,-3.017946030369296,cold_95,cold_95
LK1118070,-2.3105571063207924,-2.316474231083438,cold_95,cold_95
LK1118075,-2.476766242091413,-2.5097923642764264,cold_95,cold_95
LK1118080,-1.9231126248279302,-1.9599683360302365,cold_90,cold_90
LK1118085,-2.2807999555316294,-2.3217537978483938,cold_95,cold_95
LK1118090,-3.133535994286223,-3.1505347473756675,cold_99,cold_99
LK1118095,-2.865001363305295,-2.881553450524299,cold_95,cold_95
LK1118100,-3.759672676031359,-3.7580077227262723,cold_99,cold_99
LK1118105,-2.6740833261249017,-2.680015687557501,cold_95,cold_95
LK1118110,-4.026846734303945,-4.018558479857147,cold_99,cold_99
LK1118115,-3.932954031678387,-3.9165154187192335,cold_99,cold_99
LK1118120,-3.383242577006363,-3.3832805152276553,cold_99,cold_99
LK1118125,-3.720623178129467,-3.734696475001146,cold_99,cold_99
LK1118130,-2.620721579303092,-2.63512431636795,cold_95,cold_95
LK1118135,-2.6215002655119717,-2.648059659652414,cold_95,cold_95
