zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1115290,33.86330483988582,-2.9266190419050018,0.0034266833784588426,0.003,0.011767605633802818,True,cold_95
LK1115295,33.941713281242215,-3.6534885140099296,0.00025870136623970974,0.001,0.005925531914893618,True,cold_99
LK1115300,33.936582878840575,-3.469281379371069,0.0005218525905564408,0.001,0.005925531914893618,True,cold_99
LK1115305,32.867130989046004,-5.075294204331477,3.8689689781338215e-07,0.001,0.005925531914893618,True,cold_99
LK1115310,32.2277831697319,-3.7527468735729963,0.00017490744379718983,0.001,0.005925531914893618,True,cold_99
LK1115315,32.99533437660045,-3.746338263438289,0.00017943459992917916,0.001,0.005925531914893618,True,cold_99
LK1115320,32.55498444004158,-4.173914891390424,2.9940964455807177e-05,0.001,0.005925531914893618,True,cold_99
LK1115325,34.4379029937448,-2.743193402783223,0.006084483780139079,0.004,0.014374193548387098,True,cold_95
LK1115330,35.912580387339034,-2.6660515583442157,0.007674792170315975,0.003,0.011767605633802818,True,cold_95
LK1115335,35.32878634128096,-2.0260150385921016,0.04276324357676362,0.03,0.06281954887218046,False,cold_90
LK1115340,34.547293369464775,-2.853196912314009,0.004328179300577534,0.003,0.011767605633802818,True,cold_95
LK1118005,34.19900337105512,-3.1268430720045046,0.001766942146991147,0.001,0.005925531914893618,True,cold_99
LK1118010,34.50633987301293,-3.652288454653225,0.0002599136894739844,0.001,0.005925531914893618,True,cold_99
LK1118015,34.1884481688376,-3.6046039562349415,0.0003126292961162647,0.001,0.005925531914893618,True,cold_99
LK1118020,33.81558226410626,-4.623450999641126,3.7740792548417787e-06,0.001,0.005925531914893618,True,cold_99
LK1118025,33.29946405487531,-4.298091436587794,1.7227509825959606e-05,0.001,0.005925531914893618,True,cold_99
LK1118030,34.014472742769755,-3.8405298251161137,0.00012276905479810475,0.001,0.005925531914893618,True,cold_99
LK1118035,34.57638385272463,-3.5850224123323,0.00033704925948129985,0.001,0.005925531914893618,True,cold_99
LK1118040,34.49327284110832,-3.591401409785034,0.0003289045982648382,0.001,0.005925531914893618,True,cold_99
LK1118045,33.86329474682706,-3.450750904780192,0.0005590292710384354,0.001,0.005925531914893618,True,cold_99
LK1118050,34.4252947269498,-3.3103713092441485,0.000931722847863643,0.001,0.005925531914893618,True,cold_99
LK1118055,34.50949527354628,-3.6993254692270416,0.00021617323733962642,0.001,0.005925531914893618,True,cold_99
LK1118060,34.916966236628035,-2.5813888757471535,0.00984036659849894,0.005,0.016577380952380955,True,cold_95
LK1118065,35.73256898594596,-2.5762256234530474,0.009988544480551382,0.003,0.011767605633802818,True,cold_95
LK1118070,35.889836362241674,-1.889154352021111,0.058871149302262435,0.037,0.07494181818181818,False,cold_90
LK1118075,36.12109894466749,-2.0814357591490933,0.037394038439232016,0.014,0.035445454545454544,True,cold_95
LK1118080,36.75815221035749,-1.5553665308350964,0.11985880045716704,0.063,0.11283279742765273,False,ns
LK1118085,35.77894984913623,-1.8234458260890831,0.06823589500169705,0.038,0.0764115523465704,False,cold_90
LK1118090,36.57701437371522,-2.5869840181594914,0.009682008275661593,0.004,0.014374193548387098,True,cold_95
LK1118095,35.22137331774854,-2.373901049067851,0.01760126672971,0.006,0.018988636363636364,True,cold_95
