zone_id,gi_star_hot_rank,lst_2020s_rank,ndvi_inverse_rank,score,rank,priority
LK1112195,0.466786355475763,0.5242369838420108,0.6499102333931778,0.5263913824057451,264,False
LK1121130,0.5080789946140036,0.5583482944344704,0.4883303411131059,0.5242369838420109,265,False
LK1136205,0.49371633752244165,0.5727109515260324,0.4703770197486535,0.5206463195691203,266,False
LK1136030,0.4793536804308797,0.5350089766606823,0.5655296229802513,0.5188509874326751,267,False
LK1136255,0.5637342908438061,0.5098743267504489,0.44165170556552963,0.5177737881508079,268,False
LK1136160,0.5511669658886894,0.526032315978456,0.4326750448833034,0.5174147217235189,269,False
LK1136100,0.4757630161579892,0.5511669658886894,0.5314183123877917,0.5170556552962299,270,False
LK1109130,0.5296229802513465,0.5278276481149012,0.4631956912028725,0.5156193895870735,271,False
LK1136115,0.5278276481149012,0.4865350089766607,0.5350089766606823,0.5127468581687613,272,False
LK1136190,0.526032315978456,0.5457809694793537,0.41831238779174146,0.5123877917414722,273,False
LK1121050,0.42010771992818674,0.5529622980251346,0.6104129263913824,0.5113105924596051,274,False
LK1106075,0.5368043087971275,0.4991023339317774,0.48114901256732495,0.510592459605027,275,False
LK1109190,0.5224416517055656,0.4757630161579892,0.5385996409335727,0.5070017953321364,276,False
LK1109195,0.41651705565529623,0.5439856373429084,0.5870736086175943,0.5016157989228007,277,False
LK1121070,0.5098743267504489,0.5170556552962298,0.4488330341113106,0.5005385996409336,278,False
LK1106155,0.4649910233393178,0.49012567324955114,0.5888689407540395,0.49982046678635556,279,False
LK1136260,0.44703770197486536,0.5062836624775583,0.5511669658886894,0.49156193895870737,280,False
LK1112130,0.4614003590664273,0.4703770197486535,0.5942549371633752,0.4915619389587073,281,False
LK1121065,0.5008976660682226,0.5116696588868941,0.42190305206463197,0.4894075403949731,282,False
LK1121125,0.5152603231597845,0.518850987432675,0.36624775583482944,0.48689407540394974,283,False
LK1109225,0.4326750448833034,0.5026929982046678,0.5583482944344704,0.4858168761220826,284,False
LK1136120,0.5134649910233393,0.4631956912028725,0.4649910233393178,0.48366247755834835,285,False
LK1109015,0.46858168761220825,0.49730700179533216,0.47755834829443444,0.4818671454219031,286,False
LK1106070,0.4578096947935368,0.5314183123877917,0.42010771992818674,0.4797127468581688,287,False
LK1136245,0.47755834829443444,0.48114901256732495,0.4524236983842011,0.473967684021544,288,False
LK1106065,0.5547576301615799,0.414721723518851,0.43087971274685816,0.473967684021544,289,False
LK1136035,0.5314183123877917,0.2872531418312388,0.7199281867145422,0.47145421903052065,290,False
LK1112240,0.45601436265709155,0.4919210053859964,0.4614003590664273,0.47145421903052065,291,False
LK1106200,0.7594254937163375,0.3141831238779174,0.19030520646319568,0.46750448833034114,292,False
LK1109275,0.4542190305206463,0.4793536804308797,0.466786355475763,0.4667863554757631,293,False
LK1109020,0.41831238779174146,0.5044883303411131,0.4757630161579892,0.4642728904847397,294,False
LK1136130,0.4362657091561939,0.45960502692998206,0.5296229802513465,0.46427289048473963,295,False
LK1109165,0.4991023339317774,0.4488330341113106,0.4236983842010772,0.46391382405745063,296,False
LK1136315,0.43447037701974867,0.47217235188509876,0.5062836624775583,0.46391382405745063,297,False
LK1136265,0.4829443447037702,0.42010771992818674,0.5044883303411131,0.4621184919210054,298,False
LK1136165,0.5888689407540395,0.4254937163375224,0.27827648114901254,0.46140035906642735,299,False
LK1136060,0.63016157989228,0.3985637342908438,0.2495511669658887,0.4614003590664273,300,False
LK1133155,0.30341113105924594,0.5206463195691203,0.6481149012567325,0.45924596050269306,301,False
