zone_id,observed_lst_c,greened_lst_c,delta_c,rank,priority
LK1112375,35.62169086372235,35.62169086372235,1.7225278442669095e-16,367,False
LK1112380,34.74240696177711,34.74240696177711,6.703233356227361e-16,422,False
LK1112385,36.317500675961185,36.317500675961185,0.0,366,False
LK1112390,34.79287941326386,34.79287941326386,2.912060392459427e-16,449,False
LK1112395,33.99521852864504,33.99521852864505,8.17438545564717e-16,484,False
LK1112400,34.35975148283645,34.35975148283645,-1.9466924267400004e-16,466,False
LK1112405,34.85158116908676,34.85158116908675,-4.883455228591754e-17,429,False
LK1115005,33.36432561097507,33.36432561097508,-6.434048394678073e-16,518,False
LK1115010,33.841260027181434,33.841260027181434,-8.167157882300002e-17,507,False
LK1115015,32.39146108344077,32.39146108344077,1.9203857723245952e-16,540,False
LK1115020,32.62592963262794,32.62592963262794,-3.893384853480001e-16,536,False
LK1115025,32.92931225960338,32.92931225960338,1.5635414723327389e-16,531,False
LK1115030,32.90582995153824,32.90582995153824,1.6007866866688302e-16,525,False
LK1115035,33.860274243072745,33.860274243072745,4.644070168366668e-17,458,False
LK1115040,36.388159448422485,36.388159448422485,2.4223047810003414e-16,326,False
LK1115045,36.86971923501148,36.86971923501148,3.134747363647501e-16,343,False
LK1115050,35.82762258729684,35.82762258729684,-2.7328566760003855e-16,414,False
LK1115055,36.95701023253071,36.95701023253071,0.0,400,False
LK1115060,36.06173902352464,36.06173902352464,9.109522253334617e-16,399,False
LK1115065,33.227647358159125,33.227647358159125,6.047172219234895e-17,538,False
LK1115070,33.94222992987576,33.94222992987576,9.987548494619882e-17,491,False
LK1115075,33.93976733124114,33.93976733124114,0.0,517,False
LK1115080,34.536706361928154,34.536706361928154,1.1842378929335002e-15,494,False
LK1115085,33.58789870130027,33.58789870130027,-1.9737298215558337e-16,505,False
LK1115090,33.315946645566044,33.315946645566044,-4.179663151530001e-16,506,False
LK1115095,33.427414300143724,33.427414300143724,5.945964315984101e-17,503,False
LK1115100,35.32508147041962,35.32508147041962,3.5926318100229784e-16,446,False
LK1115105,34.697287256329666,34.697287256329666,-7.640244470538712e-17,472,False
LK1115110,34.60978182877895,34.60978182877895,2.322035084183334e-16,462,False
LK1115115,34.02415097704756,34.02415097704756,0.0,467,False
LK1115120,34.05242867538677,34.05242867538678,1.7007671866598143e-16,502,False
LK1115125,33.27815643929153,33.27815643929152,-9.868649107779169e-17,521,False
LK1115130,33.557887903005216,33.557887903005216,-1.0711699534071862e-16,510,False
LK1115135,34.615145416915276,34.615145416915276,0.0,459,False
LK1115140,35.28238827364331,35.28238827364331,2.599546594244269e-16,428,False
LK1115145,34.94291547539736,34.94291547539736,3.2593703475233955e-16,447,False
LK1115150,33.8534805361072,33.8534805361072,2.0301221021717148e-16,498,False
LK1115155,36.17867746064077,36.17867746064077,-3.552713678800501e-16,435,False
LK1115160,34.06548864183391,34.06548864183391,-1.0347709744079128e-15,489,False
LK1115165,32.778002070282106,32.778002070282106,-1.1735690830872525e-16,539,False
LK1115170,32.197532616966186,32.197532616966186,1.3158198810372225e-16,550,False
